ASIN,URL,CATEGORY
0000031887,http://ecx.images-amazon.com/images/I/314qZjYevsL.jpg,Boys&Girls
B001VH6Z14,http://ecx.images-amazon.com/images/I/41D-h-3hvFL.jpg,Boys&Girls
B003AVEU6G,http://ecx.images-amazon.com/images/I/51bNMjk1--L.jpg,Boys&Girls
B003PJ6H00,http://ecx.images-amazon.com/images/I/51DePctNnAL.jpg,Boys&Girls
B005DNCWOQ,http://ecx.images-amazon.com/images/I/41W639JUaOL.jpg,Boys&Girls
B006W4ITW4,http://ecx.images-amazon.com/images/I/41DVltidJ0L.jpg,Boys&Girls
B008X2XCOS,http://ecx.images-amazon.com/images/I/41TiOB0iftL.jpg,Boys&Girls
B0002USAW8,http://ecx.images-amazon.com/images/I/41XjvkNM4XL.jpg,Boys&Girls
B000E4AFSE,http://ecx.images-amazon.com/images/I/41h7pWsxYgL.jpg,Boys&Girls
B002NPCJ5E,http://ecx.images-amazon.com/images/I/41pJ85gdF4L.jpg,Boys&Girls
B0049UYUXU,http://ecx.images-amazon.com/images/I/41O-5roYt4L.jpg,Boys&Girls
B004QLBTD6,http://ecx.images-amazon.com/images/I/51PDhHyU58L.jpg,Boys&Girls
B0063CAGYE,http://ecx.images-amazon.com/images/I/41FVYH%2BvEFL.jpg,Boys&Girls
B0071645IO,http://ecx.images-amazon.com/images/I/516Oun6PJxL.jpg,Boys&Girls
B00BB9WEWG,http://ecx.images-amazon.com/images/I/41Gkx1XLx7L.jpg,Boys&Girls
B0029ANN4O,http://ecx.images-amazon.com/images/I/41wzhFkNn4L.jpg,Boys&Girls
B002MCYVAY,http://ecx.images-amazon.com/images/I/41RStxUjfIL.jpg,Boys&Girls
B002R0FD9Y,http://ecx.images-amazon.com/images/I/31CBCWLwd5L.jpg,Boys&Girls
B002WN1NHC,http://ecx.images-amazon.com/images/I/413tSzJIEFL.jpg,Boys&Girls
B000OQQ4ZU,http://ecx.images-amazon.com/images/I/41TGsCIbONL.jpg,Boys&Girls
B000OZU808,http://ecx.images-amazon.com/images/I/41YnhlIvtHL.jpg,Boys&Girls
B001U2W7JE,http://ecx.images-amazon.com/images/I/317qiH%2BKvQL.jpg,Boys&Girls
B002N4LT3I,http://ecx.images-amazon.com/images/I/41kPU5ALilL.jpg,Boys&Girls
B004RQDREY,http://ecx.images-amazon.com/images/I/414gE80kaaL.jpg,Boys&Girls
B0055WQFQG,http://ecx.images-amazon.com/images/I/41S21oA6JRL.jpg,Boys&Girls
B005DTBYUS,http://ecx.images-amazon.com/images/I/31e7ppPXZNL.jpg,Boys&Girls
B002UUUNBE,http://ecx.images-amazon.com/images/I/41Zw8gpEcaL.jpg,Boys&Girls
B004YTOVGW,http://ecx.images-amazon.com/images/I/41D9aMjhCEL.jpg,Boys&Girls
B0053TF4K4,http://ecx.images-amazon.com/images/I/417Tz59MzaL.jpg,Boys&Girls
B00BBD7BCU,http://ecx.images-amazon.com/images/I/51gEU5FJgmL.jpg,Boys&Girls
B00CSPUPPK,http://ecx.images-amazon.com/images/I/51AwyDaMrJL.jpg,Boys&Girls
